YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
2015,3.26,6.85,6.79,86.97,46.84,85.88,41.22,288.64,133.08,134.41,70.89,13.06,917.89
2016,26.66,4.83,6.41,7.81,117.14,43.76,25.41,23.91,138.2,166.56,137.19,33.45,731.33
2017,18.64,16.04,14.73,29.46,123.78,62.85,140.62,175,213.37,87.4,93.56,41.91,1017.36
2018,75.61,7.22,80.34,94.97,177.46,338.51,205.87,41.17,224.33,155.88,20.71,39.95,1462.02
2019,19.07,2.88,25.55,59.37,236.16,392.3,223.72,263.68,263.18,93.11,29.63,0.34,1608.99
2020,26.58,2.14,34.14,146.86,92.3,703.62,166.68,174.17,280.88,496.85,98.6,67.73,2290.55
2021,11.54,10.8,10.14,111.31,243.46,121.11,299.33,261.06,329.28,240.56,213,31.5,1883.09
2022,5.36,56.69,128.22,115.23,205.65,262.05,439.12,276.57,250.76,185.5,130.42,26.53,2082.1
2023,30.18,6.23,1.08,22.04,108.3,154.58,177.06,158.74,315.42,266.52,131.32,30.82,1402.29
2024,1.75,0.8,13.03,2.15,146.8,212.52,271.85,147.87,207.61,233.95,50.78,20.45,1309.56
2025,1.02,19.62,44.45,48.73,46.49,69.32,36.31,291.32,146,172.7,91.83,16.72,984.51
