date,YEAR,month,month_name,precipitation
2015-01-01,2015,1,JAN,3.26
2015-02-01,2015,2,FEB,6.85
2015-03-01,2015,3,MAR,6.79
2015-04-01,2015,4,APR,86.97
2015-05-01,2015,5,MAY,46.84
2015-06-01,2015,6,JUN,85.88
2015-07-01,2015,7,JUL,41.22
2015-08-01,2015,8,AUG,288.64
2015-09-01,2015,9,SEP,133.08
2015-10-01,2015,10,OCT,134.41
2015-11-01,2015,11,NOV,70.89
2015-12-01,2015,12,DEC,13.06
2016-01-01,2016,1,JAN,26.66
2016-02-01,2016,2,FEB,4.83
2016-03-01,2016,3,MAR,6.41
2016-04-01,2016,4,APR,7.81
2016-05-01,2016,5,MAY,117.14
2016-06-01,2016,6,JUN,43.76
2016-07-01,2016,7,JUL,25.41
2016-08-01,2016,8,AUG,23.91
2016-09-01,2016,9,SEP,138.2
2016-10-01,2016,10,OCT,166.56
2016-11-01,2016,11,NOV,137.19
2016-12-01,2016,12,DEC,33.45
2017-01-01,2017,1,JAN,18.64
2017-02-01,2017,2,FEB,16.04
2017-03-01,2017,3,MAR,14.73
2017-04-01,2017,4,APR,29.46
2017-05-01,2017,5,MAY,123.78
2017-06-01,2017,6,JUN,62.85
2017-07-01,2017,7,JUL,140.62
2017-08-01,2017,8,AUG,175.0
2017-09-01,2017,9,SEP,213.37
2017-10-01,2017,10,OCT,87.4
2017-11-01,2017,11,NOV,93.56
2017-12-01,2017,12,DEC,41.91
2018-01-01,2018,1,JAN,75.61
2018-02-01,2018,2,FEB,7.22
2018-03-01,2018,3,MAR,80.34
2018-04-01,2018,4,APR,94.97
2018-05-01,2018,5,MAY,177.46
2018-06-01,2018,6,JUN,338.51
2018-07-01,2018,7,JUL,205.87
2018-08-01,2018,8,AUG,41.17
2018-09-01,2018,9,SEP,224.33
2018-10-01,2018,10,OCT,155.88
2018-11-01,2018,11,NOV,20.71
2018-12-01,2018,12,DEC,39.95
2019-01-01,2019,1,JAN,19.07
2019-02-01,2019,2,FEB,2.88
2019-03-01,2019,3,MAR,25.55
2019-04-01,2019,4,APR,59.37
2019-05-01,2019,5,MAY,236.16
2019-06-01,2019,6,JUN,392.3
2019-07-01,2019,7,JUL,223.72
2019-08-01,2019,8,AUG,263.68
2019-09-01,2019,9,SEP,263.18
2019-10-01,2019,10,OCT,93.11
2019-11-01,2019,11,NOV,29.63
2019-12-01,2019,12,DEC,0.34
2020-01-01,2020,1,JAN,26.58
2020-02-01,2020,2,FEB,2.14
2020-03-01,2020,3,MAR,34.14
2020-04-01,2020,4,APR,146.86
2020-05-01,2020,5,MAY,92.3
2020-06-01,2020,6,JUN,703.62
2020-07-01,2020,7,JUL,166.68
2020-08-01,2020,8,AUG,174.17
2020-09-01,2020,9,SEP,280.88
2020-10-01,2020,10,OCT,496.85
2020-11-01,2020,11,NOV,98.6
2020-12-01,2020,12,DEC,67.73
2021-01-01,2021,1,JAN,11.54
2021-02-01,2021,2,FEB,10.8
2021-03-01,2021,3,MAR,10.14
2021-04-01,2021,4,APR,111.31
2021-05-01,2021,5,MAY,243.46
2021-06-01,2021,6,JUN,121.11
2021-07-01,2021,7,JUL,299.33
2021-08-01,2021,8,AUG,261.06
2021-09-01,2021,9,SEP,329.28
2021-10-01,2021,10,OCT,240.56
2021-11-01,2021,11,NOV,213.0
2021-12-01,2021,12,DEC,31.5
2022-01-01,2022,1,JAN,5.36
2022-02-01,2022,2,FEB,56.69
2022-03-01,2022,3,MAR,128.22
2022-04-01,2022,4,APR,115.23
2022-05-01,2022,5,MAY,205.65
2022-06-01,2022,6,JUN,262.05
2022-07-01,2022,7,JUL,439.12
2022-08-01,2022,8,AUG,276.57
2022-09-01,2022,9,SEP,250.76
2022-10-01,2022,10,OCT,185.5
2022-11-01,2022,11,NOV,130.42
2022-12-01,2022,12,DEC,26.53
2023-01-01,2023,1,JAN,30.18
2023-02-01,2023,2,FEB,6.23
2023-03-01,2023,3,MAR,1.08
2023-04-01,2023,4,APR,22.04
2023-05-01,2023,5,MAY,108.3
2023-06-01,2023,6,JUN,154.58
2023-07-01,2023,7,JUL,177.06
2023-08-01,2023,8,AUG,158.74
2023-09-01,2023,9,SEP,315.42
2023-10-01,2023,10,OCT,266.52
2023-11-01,2023,11,NOV,131.32
2023-12-01,2023,12,DEC,30.82
2024-01-01,2024,1,JAN,1.75
2024-02-01,2024,2,FEB,0.8
2024-03-01,2024,3,MAR,13.03
2024-04-01,2024,4,APR,2.15
2024-05-01,2024,5,MAY,146.8
2024-06-01,2024,6,JUN,212.52
2024-07-01,2024,7,JUL,271.85
2024-08-01,2024,8,AUG,147.87
2024-09-01,2024,9,SEP,207.61
2024-10-01,2024,10,OCT,233.95
2024-11-01,2024,11,NOV,50.78
2024-12-01,2024,12,DEC,20.45
2025-01-01,2025,1,JAN,1.02
2025-02-01,2025,2,FEB,19.62
2025-03-01,2025,3,MAR,44.45
2025-04-01,2025,4,APR,48.73
2025-05-01,2025,5,MAY,46.49
2025-06-01,2025,6,JUN,69.32
2025-07-01,2025,7,JUL,36.31
2025-08-01,2025,8,AUG,291.32
2025-09-01,2025,9,SEP,146.0
2025-10-01,2025,10,OCT,172.7
2025-11-01,2025,11,NOV,91.83
2025-12-01,2025,12,DEC,16.72
